# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	1279
#@/user_id	cf1ad063-ae0e-4b0b-9414-40d81ae789a9
a 	啊	c=6 d=4.74736 t=1279
gen sui 	跟随	c=2 d=1.86269 t=1279
geng huan 	更换	c=2 d=1.95101 t=1279
geng xin 	更新	c=1 d=0.970446 t=1279
gong neng 	功能	c=2 d=1.55275 t=1279
gong zuo qu 	工作区	c=2 d=1.79203 t=1279
guai 	怪	c=1 d=0.806541 t=1279
guan fang 	官方	c=1 d=0.985112 t=1279
guang 	光	c=0 d=0.0960789 t=1279
guang biao 	光标	c=1 d=0.715338 t=1279
guo cheng 	过程	c=1 d=0.895834 t=1279
guo lai 	过来	c=0 d=0.0941765 t=1279
hai shi 	还是	c=8 d=5.25361 t=1279
han hua 	汉化	c=1 d=1 t=1279
hao xiang shi 	好像是	c=1 d=0.970446 t=1279
he 	和	c=19 d=8.45185 t=1279
he shi 	合适	c=1 d=1 t=1279
he wo 	和我	c=2 d=1.36452 t=1279
heng 	横	c=1 d=0.985112 t=1279
heng fu 	横幅	c=1 d=0.965605 t=1279
hou 	后	c=2 d=1.6705 t=1279
hua 	话	c=1 d=0.937067 t=1279
huan 	换	c=2 d=1.6608 t=1279
huan cheng 	换成	c=8 d=5.12869 t=1279
huan cun 	缓存	c=4 d=3.11976 t=1279
hui 	会	c=6 d=4.47248 t=1279
hui fu 	恢复	c=5 d=3.50289 t=1279
ji chang 	机场	c=3 d=2.88247 t=1279
ji pin 	极品	c=1 d=0.97531 t=1279
ji xu 	继续	c=2 d=1.44056 t=1279
jia 	加	c=1 d=0.786628 t=1279
jia shang 	加上	c=1 d=0.97531 t=1279
jian cha 	检查	c=1 d=0.918512 t=1279
jian ju 	间距	c=5 d=4.12286 t=1279
jiao ben 	脚本	c=12 d=7.47452 t=1279
jie mian 	界面	c=1 d=1 t=1279
jie tu 	截图	c=1 d=0.946485 t=1279
jie xi 	解析	c=1 d=0.67368 t=1279
jin jin 	仅仅	c=1 d=1 t=1264
jin xing 	进行	c=1 d=0.995012 t=1279
jiu 	就	c=1 d=0.856415 t=1279
ju 	局	c=1 d=0.878095 t=1279
kai qi 	开启	c=1 d=0.826959 t=1279
kan qi lai 	看起来	c=1 d=0.99005 t=1279
ke neng 	可能	c=1 d=0.97531 t=1279
ke yi 	可以	c=4 d=2.63947 t=1279
kong zhi 	控制	c=4 d=3.08281 t=1279
kuai jie jian 	快捷键	c=5 d=4.62318 t=1279
kuan du 	宽度	c=2 d=1.77819 t=1279
kuang zhi 	矿质	c=1 d=0.99005 t=1279
lai 	来	c=2 d=1.35195 t=1279
lang 	郎	c=1 d=0.985112 t=1279
le 	了	c=11 d=6.5112 t=1279
li 	里	c=4 d=2.73364 t=1279
li mian 	里面	c=1 d=0.951229 t=1279
lian dong 	联动	c=1 d=0.965605 t=1279
lian jie 	连接	c=1 d=0.955997 t=1279
